param_129,param_59,param_111,param_28,param_316,outcome,wafer_id
-0.1892,5.3118,231.2012,67.4222,5.145,Pass,206
-0.1892,7.7745,231.2012,64.0333,5.3347,Pass,207
0.0,23.9018,231.2012,69.3778,7.5297,Pass,208
0.0946,-0.3327,231.2012,66.5778,5.1327,Pass,209
0.0,20.7782,231.2012,69.6111,6.0295,Pass,210
0.3784,24.26,231.2012,67.6556,6.0407,Pass,211
0.0946,6.7073,231.2012,66.2556,5.4263,Pass,212
0.0,29.7264,231.2012,68.0,6.1614,Pass,213
0.5677,11.4855,231.2012,68.8111,6.2639,Pass,214
0.5677,28.3127,231.2012,69.9222,5.9969,Pass,215
0.5677,13.7255,231.2012,66.1222,4.6523,Pass,216
0.5677,18.8673,231.2012,66.2778,6.6952,Pass,217
0.5677,5.5782,231.2012,70.5333,6.0111,Pass,218
0.0,25.5282,231.2012,70.9778,5.0178,Fail,219
1.608,5.9945,231.2012,68.1778,6.5219,Pass,220
1.608,2.7764,231.2012,68.3222,6.4494,Pass,221
1.608,2.6173,231.2012,69.2,5.068,Pass,222
0.5677,20.8336,231.2012,69.0667,5.3134,Fail,223
0.7569,27.3,231.2012,61.7222,5.4985,Pass,224
0.7569,5.4191,231.2012,70.9556,6.3502,Pass,225
0.7569,5.9136,231.2012,67.6667,6.8395,Pass,226
0.7569,5.3782,231.2012,70.0444,6.272,Pass,227
0.7569,-11.2309,231.2012,62.5111,5.2961,Pass,228
0.0,-1.8473,231.2012,67.2333,6.1053,Pass,229
0.0,25.43,231.2012,68.9,5.6444,Pass,230
0.7569,15.4555,231.2012,67.9667,5.8376,Pass,231
0.7569,0.7582,231.2012,61.5778,5.6836,Fail,232
0.0,-12.0473,231.2012,65.1333,8.8849,Pass,233
0.0,-10.2673,231.2012,67.5889,7.7594,Pass,234
-0.2838,1.1591,231.2012,63.9222,5.1284,Pass,235
-0.2838,-11.8245,231.2012,62.9889,4.6801,Fail,236
1.608,8.4236,231.2012,67.2222,5.5239,Fail,237
0.0,18.6045,231.2012,65.8222,5.3069,Pass,238
0.0,8.9764,231.2012,66.8556,5.8925,Fail,239
-0.5677,0.7218,231.2012,63.4889,5.5683,Pass,240
0.0,-1.42,231.2012,67.7111,6.2946,Fail,241
0.7569,9.2082,231.2012,65.6778,7.1479,Fail,242
0.0,12.1609,231.2012,68.8222,5.7847,Pass,243
0.0,8.5273,231.2012,69.4333,5.9026,Fail,244
0.0,17.1745,231.2012,67.9,5.081,Fail,245
-0.2838,5.7855,231.2012,69.6778,6.8729,Pass,246
-0.4258,14.4382,231.2012,66.2778,5.2764,Pass,247
-0.5677,11.6964,231.2012,69.8333,6.0657,Pass,248
-0.5677,18.0545,231.2012,69.7889,5.2245,Pass,249
-0.4258,20.7055,231.2012,68.5667,7.2747,Pass,250
-0.5677,1.1273,231.2012,61.0667,5.2077,Pass,251
-0.5677,16.4073,231.2012,71.7222,6.7371,Pass,252
-0.5677,5.4018,231.2012,70.4444,6.1648,Pass,253
-0.5677,26.8609,231.2012,66.6889,5.689,Pass,254
-0.2838,23.7709,231.2012,64.0333,6.8046,Pass,255
-0.5677,-0.84,231.2012,68.4222,6.9261,Pass,256
-0.5677,25.4264,231.2012,69.0556,5.4919,Pass,257
-0.3784,26.6136,231.2012,71.2444,5.5287,Pass,258
-0.4258,-6.5391,231.2012,69.3778,6.6604,Pass,259
-0.3784,0.1518,231.2012,67.1778,8.5149,Pass,260
-0.4258,2.8245,231.2012,68.2,7.7646,Pass,261
-0.5677,12.1818,231.2012,70.1222,5.8436,Pass,262
-0.4258,19.5609,231.2012,70.5111,5.0632,Pass,263
-0.5677,-1.1609,231.2012,68.1556,8.134,Pass,264
-0.4258,18.63,231.2012,62.9556,5.8716,Pass,265
-0.3784,20.7118,231.2012,72.9222,6.3369,Pass,266
-0.3784,-11.9682,231.2012,69.3889,6.2281,Pass,267
-0.9934,16.8445,231.2012,63.9778,5.6722,Pass,268
-0.3784,14.0382,231.2012,66.5444,7.6137,Pass,269
-0.5677,28.4009,231.2012,63.7778,6.6127,Pass,270
-0.9934,22.1827,231.2012,68.2,5.2143,Pass,271
-0.3784,9.1882,231.2012,63.0556,6.9848,Pass,272
-0.9934,1.5018,231.2012,67.4556,6.0561,Pass,273
-0.9934,16.0155,231.2012,68.1556,6.3346,Fail,274
-0.9934,2.5027,231.2012,67.4222,6.7768,Pass,275
-0.3784,87.0391,231.2012,68.0444,5.4855,Pass,276
-0.3784,0.7591,231.2012,69.9222,5.9401,Pass,277
-0.9934,9.8782,231.2012,66.6889,5.2386,Fail,278
-0.0473,15.6791,231.2012,68.5444,6.4183,Pass,279
0.4258,16.2418,231.2012,67.5222,5.2618,Pass,280
-0.0473,10.3745,231.2012,63.4111,6.1148,Pass,281
-0.0473,2.5045,231.2012,68.4111,5.9336,Pass,282
0.4258,24.14,231.2012,67.1444,5.2159,Fail,283
-0.0946,23.7109,231.2012,68.1444,5.4707,Pass,284
0.0,5.78,231.2012,69.4222,5.3361,Pass,285
0.0,-0.18,231.2012,63.9111,7.9306,Pass,286
-0.0946,-8.6082,231.2012,63.3444,5.2263,Pass,287
0.0,22.7173,231.2012,65.2556,6.2124,Pass,288
-0.0946,20.0236,231.2012,69.6889,4.7587,Pass,289
0.5204,17.9782,231.2012,66.2556,5.0783,Pass,290
-0.0946,17.7327,231.2012,66.1111,6.0165,Pass,291
0.4258,1.3718,231.2012,63.6111,5.3321,Fail,292
-0.0946,2.0373,231.2012,69.8444,7.4826,Pass,293
-0.5204,1.4218,231.2012,67.6222,7.5351,Pass,294
0.4258,22.4382,231.2012,68.3222,6.1843,Fail,295
-0.5204,14.9018,231.2012,63.8889,5.925,Pass,296
0.0,4.4391,231.2012,69.6778,6.711,Pass,297
-0.5677,-15.31,231.2012,59.9889,6.9933,Pass,298
-0.5204,27.3227,231.2012,66.0667,7.3823,Pass,299
-0.1419,2.78,231.2012,67.4333,7.006,Pass,300
1.608,18.1782,231.2012,63.4,5.612,Pass,301
1.419,22.3736,231.2012,66.7111,4.8209,Pass,302
1.419,24.4791,231.2012,62.7,5.8192,Pass,303
1.419,20.7209,231.2012,65.0,6.0915,Pass,304
1.419,6.2045,231.2012,68.2,5.8126,Pass,305
1.419,6.9082,231.2012,70.4556,5.71,Pass,306
1.419,23.2655,231.2012,66.2444,5.4597,Pass,307
1.419,-7.8309,231.2012,68.5444,7.1979,Pass,308
1.419,0.5373,231.2012,66.2667,3.7388,Pass,309
0.5204,3.1136,231.2012,66.4444,6.8944,Pass,310
-0.5204,25.1891,231.2012,64.9667,4.8892,Pass,311
0.2838,1.23,231.2012,69.9556,5.7926,Pass,312
0.8042,13.5955,231.2012,68.9444,5.889,Pass,313
0.8042,-2.9273,231.2012,69.4,4.9208,Pass,314
0.8042,13.3745,231.2012,69.4556,6.003,Pass,315
0.8042,27.4627,231.2012,72.8222,5.8049,Pass,316
-0.1419,4.9991,231.2012,68.1444,5.9614,Pass,317
0.0,1.9145,231.2012,69.7778,6.9949,Pass,318
-0.4258,9.5927,231.2012,68.2556,7.0251,Pass,319
-0.5204,1.8182,231.2012,66.3778,5.5382,Pass,320
0.5204,22.6936,231.2012,69.9333,5.3561,Pass,321
0.5204,19.1027,231.2012,66.9778,4.2466,Fail,322
-0.4258,3.3055,231.2012,68.5889,6.0876,Pass,323
0.5204,13.6809,231.2012,66.4556,7.4121,Fail,324
0.5204,26.9136,231.2012,71.9778,6.5545,Pass,325
0.4258,0.1427,231.2012,69.2778,4.5201,Pass,326
-0.2838,14.75,231.2012,68.2333,6.106,Fail,327
0.5204,8.0955,231.2012,67.4667,5.9448,Fail,328
0.8042,0.8873,231.2012,70.0778,6.7706,Pass,329
0.2838,1.77,231.2012,69.1333,5.6249,Pass,330
0.0,21.1082,231.2012,66.4,6.6207,Pass,331
-0.0473,4.6327,231.2012,69.3222,5.6047,Pass,332
-0.4258,10.7709,231.2012,65.5889,5.4104,Pass,333
0.0473,4.4155,231.2012,70.5667,6.9078,Pass,334
0.0,4.4091,231.2012,67.2667,5.9585,Pass,335
-0.0473,-10.37,231.2012,68.4333,5.9763,Pass,336
-0.0946,5.8091,231.2012,69.1556,5.3249,Fail,337
0.2838,2.0664,231.2012,69.9778,5.7407,Pass,338
0.2838,-0.2173,231.2012,68.6556,5.4296,Pass,339
0.2838,4.97,231.2012,69.4778,5.067,Pass,340
0.8042,1.4036,231.2012,68.8444,6.5322,Pass,341
0.0473,2.9536,231.2012,69.7111,5.4449,Pass,342
0.6623,-0.5691,231.2012,68.7667,8.067,Pass,343
0.2838,5.8727,231.2012,67.7444,6.397,Pass,344
0.0,14.0673,231.2012,66.3556,8.3024,Fail,345
0.0,-5.6018,231.2012,66.9222,5.5076,Pass,346
-0.2365,2.0009,231.2012,69.7778,6.296,Pass,347
0.0,20.81,231.2012,66.0222,5.1212,Pass,348
0.2838,-5.9045,231.2012,67.3667,5.0939,Pass,349
0.0,-0.3264,231.2012,63.8111,6.6857,Pass,350
0.2838,4.3055,231.2012,65.5556,5.8235,Pass,351
0.2365,5.0809,231.2012,66.8889,5.876,Fail,352
0.8042,6.3364,231.2012,70.1778,5.2134,Pass,353
0.4258,3.1418,231.2012,67.5222,7.3221,Pass,354
0.2365,22.1027,231.2012,71.0,5.8781,Pass,355
-0.2365,-0.8891,231.2012,67.9111,6.7978,Pass,356
0.6623,-6.8555,231.2012,60.1111,6.0995,Pass,357
0.6623,2.1473,231.2012,59.8889,8.0235,Pass,358
0.2838,-8.4836,231.2012,67.7,6.6714,Pass,359
0.0,3.9382,231.2012,67.2,4.6687,Pass,360
0.8042,-0.2618,231.2012,68.1667,5.9945,Pass,361
0.0,-2.7936,231.2012,68.5778,7.9424,Pass,362
0.0473,9.8518,231.2012,70.0556,5.8239,Pass,363
0.2365,3.8936,231.2012,67.4,5.0725,Pass,364
0.7569,-5.9236,231.2012,67.3222,4.7226,Pass,365
-0.2838,4.0991,231.2012,66.0111,6.4426,Pass,366
0.4258,6.3436,231.2012,68.8778,4.8829,Pass,367
0.7569,0.31,231.2012,69.1,13.0958,Pass,368
0.2365,28.5145,231.2012,65.9111,5.7813,Fail,369
-0.2365,4.0209,231.2012,69.3556,6.7984,Pass,370
0.4258,3.2182,231.2012,67.7667,5.3185,Pass,371
0.0473,14.3891,231.2012,65.4889,5.1885,Pass,372
0.2365,6.2455,231.2012,67.4111,4.9057,Pass,373
0.2838,3.7982,231.2012,71.2,6.2071,Fail,374
-0.2365,-1.9555,231.2012,70.1889,6.114,Pass,375
0.2838,-10.6036,231.2012,65.5,6.4455,Pass,376
0.7569,3.88,231.2012,67.0667,5.9837,Pass,377
0.0,5.7945,231.2012,68.2889,6.0564,Pass,378
0.0,0.8018,231.2012,70.4,6.8803,Pass,379
0.7569,10.8955,231.2012,67.2111,5.2501,Pass,380
0.7569,15.2791,231.2012,67.5889,5.3828,Pass,381
-0.2838,18.7173,231.2012,65.5444,5.5977,Pass,382
-0.0473,3.3955,231.2012,67.6333,6.6343,Pass,383
0.2365,0.1227,231.2012,67.6444,5.6683,Pass,384
0.7569,3.5336,231.2012,68.0444,5.2265,Pass,385
-0.0473,-5.3355,231.2012,70.2,4.4363,Pass,386
0.7569,1.4355,231.2012,67.1111,4.4244,Pass,387
-0.2838,7.3918,231.2012,69.1111,6.5451,Pass,388
-0.2838,4.8018,231.2012,67.8778,5.5481,Pass,389
0.4258,-7.4155,231.2012,69.1222,4.5221,Pass,390
-0.2838,0.0945,231.2012,69.3111,8.6585,Pass,391
-0.2838,8.9073,231.2012,66.6556,5.6626,Pass,392
0.4258,5.0473,231.2012,70.6444,5.2693,Fail,393
-0.2838,26.1536,231.2012,64.7222,5.4333,Pass,394
-0.2365,-2.9973,231.2012,69.6889,6.4365,Pass,395
0.2365,-5.6473,231.2012,68.3,7.0767,Pass,396
-0.2365,-1.2182,231.2012,69.0111,6.9059,Pass,397
-0.2838,1.2264,231.2012,68.1889,5.0676,Pass,398
-0.2838,2.8355,231.2012,68.5556,6.2468,Pass,399
-0.0473,5.9073,231.2012,68.3333,5.2126,Pass,400
-0.2838,4.5027,231.2012,67.6778,4.6676,Pass,401
-0.0473,3.2591,231.2012,65.6889,5.0992,Pass,402
0.2365,4.1509,231.2012,67.0556,6.7113,Pass,403
-0.0473,4.4564,231.2012,67.1889,7.3424,Pass,404
-0.2838,0.4591,231.2012,67.7667,6.0629,Pass,405
-0.2838,-1.0773,231.2012,60.0667,5.0991,Pass,406
-0.0473,10.9955,231.2012,67.4889,5.4651,Fail,407
-0.2365,2.0064,231.2012,67.0889,7.6674,Pass,408
0.2365,18.4,231.2012,67.8889,5.9202,Pass,409
-0.2838,0.3036,231.2012,68.9444,7.2296,Pass,410
-0.2838,22.7636,231.2012,65.5778,6.2893,Pass,411
-0.2365,6.1527,231.2012,68.6111,5.7298,Pass,412
0.2365,20.2627,231.2012,67.3667,6.5968,Pass,413
-0.2838,-3.09,231.2012,67.2444,6.9241,Pass,414
-0.2365,1.9855,231.2012,68.3889,6.5415,Pass,415
-0.2365,8.3018,231.2012,68.1778,5.0896,Pass,416
-0.0473,2.9964,231.2012,59.4,6.3363,Pass,417
-0.2365,4.5645,231.2012,66.3,5.5445,Pass,418
-0.2365,1.14,231.2012,67.2778,5.426,Pass,419
0.7096,8.8173,231.2012,69.6222,6.1079,Pass,420
-0.2365,2.4345,231.2012,66.1667,5.6802,Pass,421
-0.0473,-28.9882,231.2012,65.3667,4.9531,Pass,422
0.7096,6.6,231.2012,68.9444,6.9622,Pass,423
0.7096,25.2736,231.2012,68.8,5.3532,Pass,424
-0.2365,-5.7182,231.2012,71.2333,4.4785,Fail,425
-0.9461,-1.4345,231.2012,70.0556,5.2483,Pass,426
-0.9461,-0.3327,231.2012,69.5889,5.5199,Pass,427
-0.9461,0.5682,231.2012,67.8222,5.931,Pass,428
-0.9461,2.9518,231.2012,65.7111,6.778,Pass,429
-0.8042,7.7727,231.2012,68.7667,5.0532,Pass,430
-0.9461,2.75,231.2012,66.5333,6.0275,Pass,431
-0.9461,15.81,231.2012,67.9556,5.2089,Pass,432
-0.8042,3.4882,231.2012,70.9556,6.9314,Pass,433
-0.8042,1.2673,231.2012,68.6556,4.8083,Pass,434
-0.8042,4.7864,231.2012,66.7,5.2236,Pass,435
-0.8042,14.7345,231.2012,69.6556,6.2457,Pass,436
-0.8042,-8.3955,231.2012,59.9778,7.7567,Pass,437
1.088,1.2209,231.2012,68.7111,4.7162,Pass,438
1.088,1.0345,231.2012,67.5111,6.0188,Pass,439
1.088,1.0636,231.2012,69.8222,6.1948,Pass,440
1.088,1.6173,231.2012,70.0444,6.7145,Pass,441
1.088,2.4173,231.2012,70.3889,4.6886,Fail,442
0.0,-7.1564,231.2012,69.2444,4.9289,Pass,443
0.0,0.6991,231.2012,66.4,6.9408,Pass,444
0.0,2.5964,231.2012,68.9333,4.6901,Pass,445
0.0,-0.4091,231.2012,68.2333,5.9835,Pass,446
1.088,-5.0245,231.2012,62.9778,6.2162,Pass,447
0.0,-0.7236,231.2012,69.9111,5.376,Pass,448
